Player,Batting Inns,Batting SR,100's,50's,Batting Average
MS Dhoni,12,134.62,0,3,83.2
F du Plessis,12,123.36,0,3,36.0
RA Jadeja,9,120.45,0,0,35.33
M Vijay,2,104.91,0,0,32.0
MJ Santner,2,139.13,0,0,32.0
SK Raina,17,121.97,0,3,23.93
AT Rayudu,17,93.06,0,1,23.5
SR Watson,17,127.56,0,3,23.41
KM Jadhav,12,95.85,0,1,18.0
DJ Bravo,9,121.21,0,0,16.0
SN Thakur,3,200.0,0,0,7.0
DR Shorey,1,62.5,0,0,5.0
DL Chahar,2,77.77,0,0,3.5
Harbhajan Singh,1,33.33,0,0,1.0
SW Billings,1,0.0,0,0,0.0
Imran Tahir,1,0.0,0,0,0.0
MM Sharma,1,0.0,0,0,0.0
SC Kuggeleijn,0,0.0,0,0,0.0
KV Sharma,0,0.0,0,0,0.0
RR Pant,16,162.66,0,3,37.53
S Dhawan,16,135.67,0,5,34.73
SS Iyer,16,119.94,0,3,30.86
R Tewatia,4,118.18,0,0,26.0
PP Shaw,16,133.71,0,2,22.06
C Munro,4,120.0,0,0,21.0
CA Ingram,12,119.48,0,0,18.4
AR Patel,12,125.0,0,0,18.33
SE Rutherford,7,135.18,0,0,14.6
A Mishra,4,87.5,0,0,10.5
TA Boult,3,175.0,0,0,7.0
J Suchith,1,40.0,0,0,6.0
CH Morris,6,86.48,0,0,5.33
K Rabada,4,93.33,0,0,4.66
KMA Paul,6,75.0,0,0,3.6
GH Vihari,2,50.0,0,0,2.0
S Lamichhane,1,0.0,0,0,0.0
HV Patel,2,0.0,0,0,0.0
I Sharma,3,333.33,0,0,0.0
Avesh Khan,1,133.33,0,0,0.0
AD Russell,13,204.81,0,4,56.66
N Rana,11,146.38,0,3,34.4
Shubman Gill,13,124.36,0,3,32.88
KD Karthik,13,146.24,0,2,31.62
RV Uthappa,11,115.1,0,1,31.33
CA Lynn,13,139.65,0,4,31.15
RK Singh,3,108.82,0,0,18.5
SP Narine,9,166.27,0,0,17.87
PP Chawla,5,113.51,0,0,14.0
NS Naik,1,43.75,0,0,7.0
Kuldeep Yadav,4,150.0,0,0,6.0
CR Brathwaite,2,110.0,0,0,5.5
JL Denly,1,0.0,0,0,0.0
M Prasidh Krishna,1,0.0,0,0,0.0
KC Cariappa,1,300.0,0,0,0.0
HF Gurney,1,20.0,0,0,0.0
Y Prithvi Raj,1,0.0,0,0,0.0
LH Ferguson,0,0.0,0,0,0.0
S Sandeep Warrier,0,0.0,0,0,0.0
KL Rahul,14,135.38,1,6,53.9
SN Khan,5,125.87,0,1,45.0
Mandeep Singh,12,137.5,0,0,41.25
CH Gayle,13,153.6,0,4,40.83
N Pooran,6,157.0,0,0,28.0
DA Miller,10,129.87,0,1,26.62
MA Agarwal,13,141.88,0,2,25.53
SM Curran,8,172.72,0,1,23.75
P Simran Singh,1,94.11,0,0,16.0
R Ashwin,6,150.0,0,0,8.4
KK Nair,1,83.33,0,0,5.0
M Ashwin,3,60.0,0,0,3.0
GC Viljoen,3,42.85,0,0,1.5
Mohammed Shami,2,50.0,0,0,1.0
Mujeeb Ur Rahman,3,0.0,0,0,0.0
Harpreet Brar,1,166.66,0,0,0.0
AJ Tye,1,0.0,0,0,0.0
Arshdeep Singh,0,0.0,0,0,0.0
AS Rajpoot,0,0.0,0,0,0.0
CV Varun,0,0.0,0,0,0.0
HH Pandya,15,191.42,0,1,44.66
Q de Kock,16,132.91,0,4,35.26
KA Pollard,14,156.74,0,1,34.87
SA Yadav,15,130.86,0,2,32.61
RG Sharma,15,128.57,0,2,28.92
Yuvraj Singh,4,130.66,0,1,24.5
Ishan Kishan,6,101.0,0,0,16.83
KH Pandya,15,122.0,0,0,16.63
E Lewis,3,92.3,0,0,16.0
SD Lad,1,115.38,0,0,15.0
BCJ Cutting,3,105.88,0,0,9.0
RD Chahar,4,109.09,0,0,6.0
M Markande,2,120.0,0,0,6.0
MJ McClenaghan,4,68.75,0,0,3.66
AS Joseph,2,115.38,0,0,0.0
Rasikh Salam,1,125.0,0,0,0.0
BB Sran,1,100.0,0,0,0.0
JJ Bumrah,2,0.0,0,0,0.0
JP Behrendorff,0,0.0,0,0,0.0
SL Malinga,0,0.0,0,0,0.0
AS Roy,0,0.0,0,0,0.0
J Yadav,0,0.0,0,0,0.0
MP Stoinis,10,135.25,0,0,52.75
AB de Villiers,13,154.0,0,5,44.2
V Kohli,14,141.46,1,2,33.14
Gurkeerat Singh,3,140.0,0,1,32.66
MM Ali,10,165.41,0,2,27.5
PA Patel,14,139.17,0,2,26.64
P Ray Barman,1,79.16,0,0,19.0
SO Hetmyer,5,123.28,0,1,18.0
C de Grandhomme,4,93.87,0,0,15.33
S Dube,4,121.21,0,0,13.33
UT Yadav,7,100.0,0,0,12.5
AD Nath,5,107.01,0,0,12.2
H Klaasen,2,90.0,0,0,4.5
Mohammed Siraj,4,28.57,0,0,4.0
YS Chahal,3,37.5,0,0,3.0
P Negi,4,75.0,0,0,2.25
NA Saini,2,50.0,0,0,2.0
Washington Sundar,2,33.33,0,0,0.5
TG Southee,1,100.0,0,0,0.0
DW Steyn,1,0.0,0,0,0.0
K Khejroliya,0,0.0,0,0,0.0
SPD Smith,10,116.0,0,3,39.87
JC Buttler,8,151.7,0,3,38.87
SV Samson,12,148.69,1,0,34.2
JC Archer,5,167.5,0,0,33.5
AM Rahane,13,137.89,1,1,32.75
R Parag,5,126.98,0,1,32.0
RA Tripathi,7,119.49,0,1,23.5
